ta2017_label,all_staff,senior_medical,junior_medical,care_support,nurses,allied
Wairoa District,1271,76,84,131,449,219
Lower Hutt City,1198,79,87,135,394,192
Auckland,1200,102,74,126,441,222
Matamata-Piako District,1419,88,100,155,519,217
Nelson City,1217,87,57,230,393,153
Horowhenua District,1229,87,87,82,474,172
Whakatane District,1070,75,74,109,404,152
Porirua City,1398,102,110,114,543,196
Marlborough District,1216,87,57,230,393,153
Grey District,1860,85,34,306,786,219
Stratford District,1118,83,62,126,383,163
Central Otago District,1088,74,84,86,428,167
Kapiti Coast District,1371,99,107,108,532,192
Rotorua District,1071,74,83,97,397,146
Southland District,1086,74,84,86,428,167
Selwyn District,1372,87,87,139,519,234
Waimakariri District,1373,87,87,139,520,234
Gisborne District,1298,105,41,109,508,192
Dunedin City,1088,74,84,86,428,167
Kawerau District,1070,75,74,109,404,152
Waikato District,1332,86,92,143,492,208
Queenstown-Lakes District,1089,75,84,86,429,167
Hamilton City,1418,88,100,155,518,217
Kaipara District,1327,107,62,167,488,202
Christchurch City,1372,87,87,139,519,234
Masterton District,952,69,28,74,414,109
Westland District,1855,85,34,305,784,218
Tauranga City,1070,75,74,109,404,152
Napier City,1272,76,84,131,449,219
Timaru District,970,65,38,92,414,118
Otorohanga District,1417,88,100,154,518,217
Palmerston North City,1227,86,87,82,474,172
Hauraki District,1402,87,98,153,513,216
Gore District,1091,75,84,86,430,168
Manawatu District,1226,86,87,82,473,172
Hurunui District,1369,86,87,139,518,234
Central Hawke's Bay District,1271,76,84,131,448,218
Invercargill City,1087,74,84,86,428,167
Upper Hutt City,1197,79,87,135,393,192
Rangitikei District,1276,72,61,137,515,172
Carterton District,952,69,28,74,414,109
Waimate District,969,65,38,92,414,118
New Plymouth District,1118,83,63,126,384,163
South Waikato District,1418,88,100,155,518,217
South Wairarapa District,952,69,28,74,414,109
Opotiki District,1070,75,74,109,404,152
Waitaki District,1087,74,84,86,428,167
Hastings District,1273,77,85,131,449,219
Kaikoura District,1372,87,87,139,520,234
Ashburton District,1371,87,87,139,519,234
Buller District,1865,85,34,306,788,219
Thames-Coromandel District,1418,88,100,155,518,217
Mackenzie District,972,65,39,92,415,119
Far North District,1324,107,62,167,486,202
Western Bay of Plenty District,1070,75,74,109,404,152
Ruapehu District,1372,82,86,149,519,202
Clutha District,1087,74,84,86,428,167
Whanganui District,1279,72,61,137,516,173
Tararua District,1229,87,87,82,474,172
Whangarei District,1323,107,62,167,486,201
South Taranaki District,1117,83,62,126,383,162
Waipa District,1418,88,100,155,518,217
Wellington City,1399,102,111,114,544,196
Taupo District,1072,74,83,97,397,146
Tasman District,1214,87,57,229,392,153
Waitomo District,1417,88,100,154,518,217
